articleid,all,OK,MOST,HALF,LESS,NONE
12775,62,16,0,1,1,44
10305,63,25,0,1,3,34
12578,31,5,1,0,1,24
111,4,0,0,0,0,4
10783,22,2,0,0,1,19
6774,28,4,1,0,0,23
6298,25,3,0,0,0,22
5069,5,2,0,0,0,3
error couldnt retrieve sheet no 6669
58,3,1,0,0,0,2
5370,41,6,2,4,1,28
10709,12,3,0,1,0,8
5454,13,1,1,0,0,11
6302,33,7,1,0,1,24
11768,8,3,1,0,0,4
6714,8,0,0,0,0,8
12592,122,5,0,0,0,20
5251,11,1,0,0,0,10
664,21,2,0,0,0,19
5321,30,2,3,0,0,25
5577,15,2,0,0,0,13
11876,24,8,2,3,0,11
11539,17,2,0,0,0,15
10263,24,7,1,0,0,15
5146,24,7,0,1,0,12
10464,14,0,0,0,0,13
11540,19,2,1,0,0,16
4924,37,7,1,2,0,27
5975,21,2,0,0,0,19
12872,30,1,0,0,0,29
10818,26,6,0,0,1,19
11300,11,0,0,1,0,10
5068,7,1,0,0,0,6
10133,23,3,0,0,0,20
527,65,11,0,1,1,52
6510,18,0,0,0,0,18
12401,51,5,0,0,0,32
5137,41,6,2,5,1,27
5547,17,2,0,0,0,14
5239,22,3,0,3,0,16
11320,23,3,2,0,0,18
11999,25,2,2,0,0,21
11920,30,5,0,2,0,23
11433,39,16,0,0,0,23
6552,14,1,0,1,0,12
6614,8,0,0,0,0,8
4930,9,1,1,1,0,6
6125,19,3,1,0,0,15
5329,21,5,0,0,2,14
error couldnt retrieve sheet no 10690
11787,19,6,0,0,0,13
5343,14,1,0,0,0,13
5537,19,2,3,0,0,14
6640,48,11,0,1,0,36
5315,28,7,2,2,0,13
10995,25,3,0,0,0,18
11656,22,3,1,0,0,18
6801,11,0,0,0,0,8
5051,5,0,0,0,0,5
10540,18,1,0,1,0,16
5796,20,4,0,0,1,14
6600,17,0,0,0,0,17
6819,10,0,0,0,0,9
10272,28,4,1,0,2,21
6629,10,0,0,0,0,10
10443,4,0,0,0,0,4
362,36,13,0,1,0,22
5473,9,1,1,0,0,7
10782,24,4,0,1,1,18
11537,11,0,0,0,0,11
11972,31,7,2,2,1,19
4904,12,3,0,0,0,9
6048,9,2,0,0,0,7
12090,27,8,1,3,0,9
4894,9,1,0,0,0,8
5539,26,4,0,1,0,21
5344,8,0,0,0,0,8
6447,15,0,0,0,0,15
6428,19,2,1,0,1,15
6457,22,2,2,0,0,18
6747,12,0,0,0,0,12
10299,6,1,0,0,0,5
6515,27,4,1,1,0,19
4656,3,0,0,0,0,3
4779,19,6,0,0,0,13
10781,19,3,1,0,0,15
5025,21,6,0,0,1,14
10329,3,0,0,0,0,3
6383,8,1,0,0,0,7
11511,6,2,0,0,0,4
12321,16,1,0,0,0,15
10575,5,1,0,0,0,4
5283,9,1,0,0,1,7
11458,17,5,0,0,0,12
10442,12,1,2,0,0,9
447,8,0,1,1,0,6
10810,8,0,0,0,0,8
5055,15,2,0,0,0,13
6236,17,4,0,2,0,11
5111,15,2,0,1,0,12
6487,15,2,0,0,0,13
10508,18,1,0,0,1,16
10679,7,2,0,0,0,5
12021,20,2,1,1,0,16
4706,20,5,1,0,0,14
6217,19,4,0,1,0,14
11336,18,3,0,0,1,14
5582,6,1,0,0,0,5
12484,20,1,0,0,1,17
6829,19,0,0,0,0,19
6433,5,0,0,0,0,5
6495,21,3,0,0,0,18
5156,7,2,0,0,0,5
10938,19,3,0,0,0,16
6816,16,0,0,0,0,16
5746,12,4,0,0,0,8
5559,9,0,0,1,0,8
10853,25,4,0,0,0,21
6603,14,0,0,0,0,14
65,9,2,0,0,0,7
5494,15,1,0,0,0,14
6693,17,2,0,0,0,15
10321,13,0,0,0,0,13
5989,8,0,1,0,0,7
6419,6,0,0,0,0,6
6627,11,0,0,0,0,11
12750,14,1,0,0,0,13
23,4,3,0,0,0,1
6817,15,0,0,0,0,15
5113,5,1,0,0,0,4
498,5,1,0,1,0,3
6733,17,2,0,0,0,15
5757,8,2,0,1,0,5
5915,23,2,0,0,0,21
4876,9,0,0,0,0,8
4988,6,0,0,0,0,6
5669,19,4,1,1,0,13
12074,7,2,0,0,1,4
10771,12,3,0,1,0,8
5140,10,4,0,0,0,6
154,8,0,0,0,0,8
10159,4,0,0,0,0,4
5987,22,4,0,1,0,17
10644,11,3,0,1,0,7
6618,16,0,0,1,0,15
6786,13,0,0,0,0,13
11877,12,4,0,0,0,8
5042,2,0,0,0,0,2
10590,11,1,0,0,0,10
591,4,0,0,0,0,4
457,12,5,0,1,0,6
5039,28,4,0,0,0,24
5460,18,7,0,0,0,11
11161,19,2,1,1,0,15
5456,17,5,0,0,1,11
5236,4,0,0,0,0,4
11015,10,0,0,0,0,10
4644,6,0,0,0,0,6
4705,27,4,0,2,0,21
5003,14,3,0,0,0,11
11800,8,2,0,0,0,6
5549,17,1,0,1,0,15
5328,17,6,0,0,1,10
5928,17,4,1,1,1,10
4701,9,2,0,0,0,7
